,lines,no_contractions,no_contractions_string,tokenized,lower,no_punctuations,stopwords_removed,pos_tags,lemmatized
0,"It’s up to you today to start making healthy choices. Not choices that are just healthy for your body, but healthy for your mind.","['it is', 'up', 'to', 'you', 'today', 'to', 'start', 'making', 'healthy', 'choices.', 'Not', 'choices', 'that', 'are', 'just', 'healthy', 'for', 'your', 'body,', 'but', 'healthy', 'for', 'your', 'mind.']","it is up to you today to start making healthy choices. Not choices that are just healthy for your body, but healthy for your mind.","['it', 'is', 'up', 'to', 'you', 'today', 'to', 'start', 'making', 'healthy', 'choices', '.', 'Not', 'choices', 'that', 'are', 'just', 'healthy', 'for', 'your', 'body', ',', 'but', 'healthy', 'for', 'your', 'mind', '.']","['it', 'is', 'up', 'to', 'you', 'today', 'to', 'start', 'making', 'healthy', 'choices', '.', 'not', 'choices', 'that', 'are', 'just', 'healthy', 'for', 'your', 'body', ',', 'but', 'healthy', 'for', 'your', 'mind', '.']","['it', 'is', 'up', 'to', 'you', 'today', 'to', 'start', 'making', 'healthy', 'choices', 'not', 'choices', 'that', 'are', 'just', 'healthy', 'for', 'your', 'body', 'but', 'healthy', 'for', 'your', 'mind']","['today', 'start', 'making', 'healthy', 'choices', 'choices', 'healthy', 'body', 'healthy', 'mind']","[('today', 'NN'), ('start', 'VB'), ('making', 'VBG'), ('healthy', 'JJ'), ('choices', 'NNS'), ('choices', 'NNS'), ('healthy', 'JJ'), ('body', 'NN'), ('healthy', 'JJ'), ('mind', 'NN')]","['today', 'start', 'making', 'healthy', 'choice', 'choice', 'healthy', 'body', 'healthy', 'mind']"
1,Creativity involves breaking out of established patterns in order to look at things in a different way.,"['Creativity', 'involves', 'breaking', 'out', 'of', 'established', 'patterns', 'in', 'order', 'to', 'look', 'at', 'things', 'in', 'a', 'different', 'way.']",Creativity involves breaking out of established patterns in order to look at things in a different way.,"['Creativity', 'involves', 'breaking', 'out', 'of', 'established', 'patterns', 'in', 'order', 'to', 'look', 'at', 'things', 'in', 'a', 'different', 'way', '.']","['creativity', 'involves', 'breaking', 'out', 'of', 'established', 'patterns', 'in', 'order', 'to', 'look', 'at', 'things', 'in', 'a', 'different', 'way', '.']","['creativity', 'involves', 'breaking', 'out', 'of', 'established', 'patterns', 'in', 'order', 'to', 'look', 'at', 'things', 'in', 'a', 'different', 'way']","['creativity', 'involves', 'breaking', 'established', 'patterns', 'order', 'look', 'things', 'different', 'way']","[('creativity', 'NN'), ('involves', 'VBZ'), ('breaking', 'VBG'), ('established', 'VBN'), ('patterns', 'NNS'), ('order', 'NN'), ('look', 'VBP'), ('things', 'NNS'), ('different', 'JJ'), ('way', 'NN')]","['creativity', 'involves', 'breaking', 'established', 'pattern', 'order', 'look', 'thing', 'different', 'way']"
2,"Curiosity about life in all of its aspects, I think, is still the secret of great creative people.","['Curiosity', 'about', 'life', 'in', 'all', 'of', 'its', 'aspects,', 'I', 'think,', 'is', 'still', 'the', 'secret', 'of', 'great', 'creative', 'people.']","Curiosity about life in all of its aspects, I think, is still the secret of great creative people.","['Curiosity', 'about', 'life', 'in', 'all', 'of', 'its', 'aspects', ',', 'I', 'think', ',', 'is', 'still', 'the', 'secret', 'of', 'great', 'creative', 'people', '.']","['curiosity', 'about', 'life', 'in', 'all', 'of', 'its', 'aspects', ',', 'i', 'think', ',', 'is', 'still', 'the', 'secret', 'of', 'great', 'creative', 'people', '.']","['curiosity', 'about', 'life', 'in', 'all', 'of', 'its', 'aspects', 'i', 'think', 'is', 'still', 'the', 'secret', 'of', 'great', 'creative', 'people']","['curiosity', 'life', 'aspects', 'think', 'still', 'secret', 'great', 'creative', 'people']","[('curiosity', 'NN'), ('life', 'NN'), ('aspects', 'NNS'), ('think', 'VBP'), ('still', 'RB'), ('secret', 'JJ'), ('great', 'JJ'), ('creative', 'JJ'), ('people', 'NNS')]","['curiosity', 'life', 'aspect', 'think', 'still', 'secret', 'great', 'creative', 'people']"
3,Happiness lies in the joy of achievement and the thrill of creative effort.,"['Happiness', 'lies', 'in', 'the', 'joy', 'of', 'achievement', 'and', 'the', 'thrill', 'of', 'creative', 'effort.']",Happiness lies in the joy of achievement and the thrill of creative effort.,"['Happiness', 'lies', 'in', 'the', 'joy', 'of', 'achievement', 'and', 'the', 'thrill', 'of', 'creative', 'effort', '.']","['happiness', 'lies', 'in', 'the', 'joy', 'of', 'achievement', 'and', 'the', 'thrill', 'of', 'creative', 'effort', '.']","['happiness', 'lies', 'in', 'the', 'joy', 'of', 'achievement', 'and', 'the', 'thrill', 'of', 'creative', 'effort']","['happiness', 'lies', 'joy', 'achievement', 'thrill', 'creative', 'effort']","[('happiness', 'NN'), ('lies', 'VBZ'), ('joy', 'JJ'), ('achievement', 'NN'), ('thrill', 'NN'), ('creative', 'JJ'), ('effort', 'NN')]","['happiness', 'lie', 'joy', 'achievement', 'thrill', 'creative', 'effort']"
4,Create what sets your heart on fire and it will illuminate the path ahead.,"['Create', 'what', 'sets', 'your', 'heart', 'on', 'fire', 'and', 'it', 'will', 'illuminate', 'the', 'path', 'ahead.']",Create what sets your heart on fire and it will illuminate the path ahead.,"['Create', 'what', 'sets', 'your', 'heart', 'on', 'fire', 'and', 'it', 'will', 'illuminate', 'the', 'path', 'ahead', '.']","['create', 'what', 'sets', 'your', 'heart', 'on', 'fire', 'and', 'it', 'will', 'illuminate', 'the', 'path', 'ahead', '.']","['create', 'what', 'sets', 'your', 'heart', 'on', 'fire', 'and', 'it', 'will', 'illuminate', 'the', 'path', 'ahead']","['create', 'sets', 'heart', 'fire', 'illuminate', 'path', 'ahead']","[('create', 'NN'), ('sets', 'NNS'), ('heart', 'NN'), ('fire', 'NN'), ('illuminate', 'JJ'), ('path', 'NN'), ('ahead', 'RB')]","['create', 'set', 'heart', 'fire', 'illuminate', 'path', 'ahead']"
5,Creativity is the way I share my soul with the world.,"['Creativity', 'is', 'the', 'way', 'I', 'share', 'my', 'soul', 'with', 'the', 'world.']",Creativity is the way I share my soul with the world.,"['Creativity', 'is', 'the', 'way', 'I', 'share', 'my', 'soul', 'with', 'the', 'world', '.']","['creativity', 'is', 'the', 'way', 'i', 'share', 'my', 'soul', 'with', 'the', 'world', '.']","['creativity', 'is', 'the', 'way', 'i', 'share', 'my', 'soul', 'with', 'the', 'world']","['creativity', 'way', 'share', 'soul', 'world']","[('creativity', 'NN'), ('way', 'NN'), ('share', 'NN'), ('soul', 'JJ'), ('world', 'NN')]","['creativity', 'way', 'share', 'soul', 'world']"
6,"Kindness isn't sacrifice so much as it is being considerate for the feelings of others, sharing happiness, the unselfish thought, the spontaneous and friendly act, forgetfulness of our own present interests. ","['Kindness', 'is not', 'sacrifice', 'so', 'much', 'as', 'it', 'is', 'being', 'considerate', 'for', 'the', 'feelings', 'of', 'others,', 'sharing', 'happiness,', 'the', 'unselfish', 'thought,', 'the', 'spontaneous', 'and', 'friendly', 'act,', 'forgetfulness', 'of', 'our', 'own', 'present', 'interests.']","Kindness is not sacrifice so much as it is being considerate for the feelings of others, sharing happiness, the unselfish thought, the spontaneous and friendly act, forgetfulness of our own present interests.","['Kindness', 'is', 'not', 'sacrifice', 'so', 'much', 'as', 'it', 'is', 'being', 'considerate', 'for', 'the', 'feelings', 'of', 'others', ',', 'sharing', 'happiness', ',', 'the', 'unselfish', 'thought', ',', 'the', 'spontaneous', 'and', 'friendly', 'act', ',', 'forgetfulness', 'of', 'our', 'own', 'present', 'interests', '.']","['kindness', 'is', 'not', 'sacrifice', 'so', 'much', 'as', 'it', 'is', 'being', 'considerate', 'for', 'the', 'feelings', 'of', 'others', ',', 'sharing', 'happiness', ',', 'the', 'unselfish', 'thought', ',', 'the', 'spontaneous', 'and', 'friendly', 'act', ',', 'forgetfulness', 'of', 'our', 'own', 'present', 'interests', '.']","['kindness', 'is', 'not', 'sacrifice', 'so', 'much', 'as', 'it', 'is', 'being', 'considerate', 'for', 'the', 'feelings', 'of', 'others', 'sharing', 'happiness', 'the', 'unselfish', 'thought', 'the', 'spontaneous', 'and', 'friendly', 'act', 'forgetfulness', 'of', 'our', 'own', 'present', 'interests']","['kindness', 'sacrifice', 'much', 'considerate', 'feelings', 'others', 'sharing', 'happiness', 'unselfish', 'thought', 'spontaneous', 'friendly', 'act', 'forgetfulness', 'present', 'interests']","[('kindness', 'VB'), ('sacrifice', 'NN'), ('much', 'JJ'), ('considerate', 'NN'), ('feelings', 'NNS'), ('others', 'NNS'), ('sharing', 'VBG'), ('happiness', 'JJ'), ('unselfish', 'JJ'), ('thought', 'VBN'), ('spontaneous', 'JJ'), ('friendly', 'JJ'), ('act', 'NN'), ('forgetfulness', 'JJ'), ('present', 'JJ'), ('interests', 'NNS')]","['kindness', 'sacrifice', 'much', 'considerate', 'feeling', 'others', 'sharing', 'happiness', 'unselfish', 'thought', 'spontaneous', 'friendly', 'act', 'forgetfulness', 'present', 'interest']"
7,"Take care, be kind, be considerate of other people and other species, and be loving.","['Take', 'care,', 'be', 'kind,', 'be', 'considerate', 'of', 'other', 'people', 'and', 'other', 'species,', 'and', 'be', 'loving.']","Take care, be kind, be considerate of other people and other species, and be loving.","['Take', 'care', ',', 'be', 'kind', ',', 'be', 'considerate', 'of', 'other', 'people', 'and', 'other', 'species', ',', 'and', 'be', 'loving', '.']","['take', 'care', ',', 'be', 'kind', ',', 'be', 'considerate', 'of', 'other', 'people', 'and', 'other', 'species', ',', 'and', 'be', 'loving', '.']","['take', 'care', 'be', 'kind', 'be', 'considerate', 'of', 'other', 'people', 'and', 'other', 'species', 'and', 'be', 'loving']","['take', 'care', 'kind', 'considerate', 'people', 'species', 'loving']","[('take', 'VB'), ('care', 'NN'), ('kind', 'NN'), ('considerate', 'NN'), ('people', 'NNS'), ('species', 'NNS'), ('loving', 'VBG')]","['take', 'care', 'kind', 'considerate', 'people', 'specie', 'loving']"
8,Real strength entails being considerate and supportive of people's feelings.,"['Real', 'strength', 'entails', 'being', 'considerate', 'and', 'supportive', 'of', ""people's"", 'feelings.']",Real strength entails being considerate and supportive of people's feelings.,"['Real', 'strength', 'entails', 'being', 'considerate', 'and', 'supportive', 'of', 'people', ""'s"", 'feelings', '.']","['real', 'strength', 'entails', 'being', 'considerate', 'and', 'supportive', 'of', 'people', ""'s"", 'feelings', '.']","['real', 'strength', 'entails', 'being', 'considerate', 'and', 'supportive', 'of', 'people', ""'s"", 'feelings']","['real', 'strength', 'entails', 'considerate', 'supportive', 'people', ""'s"", 'feelings']","[('real', 'JJ'), ('strength', 'NN'), ('entails', 'NNS'), ('considerate', 'VBP'), ('supportive', 'JJ'), ('people', 'NNS'), (""'s"", 'POS'), ('feelings', 'NNS')]","['real', 'strength', 'entail', 'considerate', 'supportive', 'people', ""'s"", 'feeling']"
9,Life is short but there is always time enough for courtesy.,"['Life', 'is', 'short', 'but', 'there', 'is', 'always', 'time', 'enough', 'for', 'courtesy.']",Life is short but there is always time enough for courtesy.,"['Life', 'is', 'short', 'but', 'there', 'is', 'always', 'time', 'enough', 'for', 'courtesy', '.']","['life', 'is', 'short', 'but', 'there', 'is', 'always', 'time', 'enough', 'for', 'courtesy', '.']","['life', 'is', 'short', 'but', 'there', 'is', 'always', 'time', 'enough', 'for', 'courtesy']","['life', 'short', 'always', 'time', 'enough', 'courtesy']","[('life', 'NN'), ('short', 'JJ'), ('always', 'RB'), ('time', 'NN'), ('enough', 'JJ'), ('courtesy', 'NN')]","['life', 'short', 'always', 'time', 'enough', 'courtesy']"
